x_axis,y_axis,은행명,은행코드,점포명,주소,주소_변환
126.8708056,37.5262845,ＳＣ제일,234122,이마트　목동점,서울특별시 양천구 오목로 299 목동트라팰리스,서울특별시 양천구 오목로 299 이마트 목동점 지하1층(동물병원 옆)
127.0269302,37.496648,ＳＣ제일,234148,삼성타운,서울특별시 서초구 서초대로74길 11 삼성전자빌딩,서울 서초구 서초대로 74길 11
127.0441092,37.4978004,ＳＣ제일,234261,도곡동（지）,서울특별시 강남구 역삼동 772,서울시 강남구역삼동772
127.0112776,37.4831093,ＳＣ제일,234274,서초남（지）,서울특별시 서초구 서초동 1461-1,서울 서초구서초동1461 15
127.0102461,37.4875173,ＳＣ제일,234290,서초동（지）,서울특별시 서초구 서초동 1581-1,서울 서초구서초동1581 13
127.0170604,37.4944034,ＳＣ제일,234313,교대역（지）,서울특별시 서초구 서초동 1675-1,서울시 서초구 서초동 1675의 1
127.0390618,37.525462,ＳＣ제일,234326,압구정로데오（지）,서울특별시 강남구 신사동 665,서울시 강남구 신사동 665－1외
127.0441611,37.5038902,ＳＣ제일,234371,테헤란로지점,서울특별시 강남구 역삼동 702,서울시 강남구 역삼동 702－10 아남타워 1층
127.035484,37.5012548,ＳＣ제일,234384,역삼역（지）,서울특별시 강남구 역삼동 642,서울시 강남구 역삼동 642의19
127.0326236,37.4861691,ＳＣ제일,234407,양재동（지）,서울특별시 서초구 서초동 1362,서울특별시 서초구 서초동 1362－14
127.0285802,37.5319073,ＳＣ제일,234423,압구정동　（지）,서울특별시 강남구 압구정동 455,서울시 강남구 압구정동 455
127.0584118,37.4978037,ＳＣ제일,234436,대치동（지）,서울특별시 강남구 대치동 1022,서울 강남구 대치동 1022
127.1538382,37.5536965,ＳＣ제일,234520,명일동지점,서울특별시 강동구 명일동 47,서울특별시 강동구 명일동 47－12(진로쇼핑랜드)
126.9328193,37.5193179,ＳＣ제일,234591,여의도（지）,서울특별시 영등포구 여의도동 53,서울특별시 영등포구 여의도동53－1
127.0326236,37.4861691,ＳＣ제일,234614,양재동（기업）,서울특별시 서초구 서초동 1362,서울시 서초구 서초동 1362－14
127.1145274,37.5051659,ＳＣ제일,234711,송파（기업）,서울특별시 송파구 가락로 183 한양아파트,서울특별시 송파구 가락로 183， 1층8호(송파동)
126.9824127,37.5710707,ＳＣ제일,235312,ＣＢ드림마일리지,서울특별시 종로구 공평동 100,서울 종로구 공평동 100
127.0032131,37.5049178,ＳＣ제일,235383,신세계　강남점,서울특별시 서초구 신반포로 176 센트럴시티빌딩,서울특별시 서초구 신반포로 176 신세계백화점 강남점 8층(반포동 19
127.0217506,37.5659489,ＳＣ제일,238199,리테일ＣＤＤ업무팀,서울특별시 중구 퇴계로 447 황학 아크로타워,서울특별시 중구 퇴계로 447 2층 208호(황학동， 황학아크로타워
126.9828327,37.5646673,국민,40015,명동영업부,서울특별시 중구 남대문로 84 국민은행,서울 중구 남대문로 84， 국민은행명동본점 (남대문로2가)
