index,은행코드,은행명,점포명,주소_변환,주소,x_axis,y_axis
3352,0205669,우리,신월북（지）,서울 양천구 신월동 147－20,서울특별시 양천구 신월동 147-1,126.8276617,37.5355638
3353,0205672,우리,신림로,서울 관악구 신림9동 240－4,서울특별시 관악구 대학동 240-1,126.9382268,37.4700774
3354,0205685,우리,양평동,서울 영등포구 양평동2가 29－23 외 목동비즈타워,서울특별시 영등포구 양평동2가 29-1,126.8855937,37.5239134
3355,0205698,우리,한남동금융센터,서울 용산구 한남동 738－20,서울특별시 용산구 한남동 738-1,126.9999202,37.5370096
3356,0205708,우리,합정동,서울 마포구 합정동 373－4,서울특별시 마포구 합정동 373-2,126.9146271,37.5483054
3357,0205711,우리,신정동,서울 양천구 신정4동 981－16,서울특별시 양천구 신정4동 981-1,126.8582967,37.5222298
3358,0205724,우리,길동,서울 강동구 길동 320－5,서울특별시 강동구 길동 320-1,127.1431011,37.5448616
3359,0205737,우리,도곡동금융센터,서울 강남구 도곡동 755 한솔필리아,ERROR_CODE,ERROR_CODE,ERROR_CODE
3360,0205740,우리,한빛　７차　ＡＢＳ,서울 중구 회현동 1가 203번지,서울특별시 중구 회현동1가 203,126.9815607,37.5591374
3361,0205753,우리,금호동,서울 성동구 금호동 4가 1109,서울특별시 성동구 금호동4가 1109,127.0210214,37.5481595
3362,0205766,우리,압구정역,서울 강남구 신사동 614－2,서울특별시 강남구 신사동 614,127.0294582,37.5273934
3363,0205779,우리,중곡동,서울 광진구 중곡4동 79－9,서울특별시 광진구 중곡4동 79-1,127.0881171,37.5584166
3364,0205782,우리,청계７가,서울 종로구 창신동 436－64,서울특별시 종로구 창신동 436,127.0122049,37.5707091
3365,0205795,우리,대림동,서울 동작구 신대방1동 607－62,서울특별시 동작구 신대방1동 607-5,126.9081112,37.4903847
3366,0205818,우리,청담중앙,서울 강남구 청담동 68－5,서울특별시 강남구 청담동 68,127.0543506,37.5233107
3367,0205821,우리,성수동금융센터,서울 성동구 성수동 1가 22－24,서울특별시 성동구 성수동1가 22-1,127.0492894,37.5446902
3368,0205834,우리,사당역금융센터,서울 관악구 남현동 1059－13,서울특별시 관악구 남현동 1059-1,126.9785591,37.476344
3369,0205847,우리,개봉동,서울 구로구 개봉동 403－56,서울특별시 구로구 개봉동 403-1,126.8564359,37.4949609
3370,0205863,우리,숭실대역（지）,서울 동작구 상도5동 113－1,서울특별시 동작구 상도동 7-3,126.953237,37.5051949
3371,0205876,우리,태릉역（지）,서울 중랑구 묵1동 168－18,서울특별시 중랑구 묵1동 168-1,127.0766322,37.616789
3372,0205889,우리,방배동,서울 서초구 방배동 852－24,서울특별시 서초구 방배동 852-1,126.9916438,37.4897216
3373,0205892,우리,양재동,서울 강남구 도곡동 914－2,서울특별시 강남구 도곡동 914-1,127.0386114,37.4856493
3374,0205902,우리,학동역,서울 강남구 논현동 58－6,서울특별시 강남구 논현동 58,127.028587,37.5139181
3375,0205915,우리,방이동,서울 송파구 방이동 110,서울특별시 송파구 방이동 110,127.1127545,37.5104604
3376,0205928,우리,고척동（지）,서울 구로구 개봉동 179－8,서울특별시 구로구 개봉동 179-8,126.8609176,37.4963506
3377,0205944,우리,공덕동효성금융센터,서울 마포구 공덕동 450 효성빌딩,서울특별시 마포구 공덕동 450,126.9517606,37.5456712
3378,0205973,우리,영통（지）,경기 수원시 영통구 영통동 968,경기도 수원시 영통구 영통동 968,127.065287,37.2508729
3379,0205986,우리,개포동（지）,서울 강남구 도곡2동 464,서울특별시 강남구 도곡2동 464,127.048877,37.4868641
3380,0205999,우리,고덕,서울 강동구 명일동 54,서울특별시 강동구 명일동 54,127.1551511,37.5504637
3381,0206008,우리,무역센터금융센터,서울 강남구 삼성동 159 무역회관,서울특별시 강남구 삼성동 159,127.058853,37.5124878
3382,0206011,우리,금융감독원（지）,서울영등포구여의도동27증권감독원빌딩,서울특별시 영등포구 여의도동 27,126.9213735,37.5230939
3383,0206024,우리,남산북（출）,서울 중구 예장동 6－7,서울특별시 중구 예장동 6,126.989098,37.5593251
3384,0206037,우리,김제,전북 김제시 요촌동 122－5,전라북도 김제시 요촌동 122-1,126.8914348,35.7991242
3385,0206040,우리,구포,부산 북구 구포2동 1060－400,부산광역시 북구 구포2동 1060-22,128.9968742,35.2058544
3386,0206053,우리,동래,부산 동래구 수안동 457,부산광역시 동래구 수안동 457,129.0857276,35.2028209
3387,0206066,우리,전주대학교（출）,전북 전주시 완산구 효자동3가 1200,전라북도 전주시 완산구 효자동3가 1202-62,127.0939078,35.8129228
3388,0206079,우리,나운동,전북 군산시 나운동 45－10,전라북도 군산시 나운동 45,126.7095912,35.9685087
3389,0206082,우리,서신동,전북 전주시 완산구 서신동 796－2,전라북도 전주시 완산구 서신동 796,127.1131337,35.8319821
3390,0206095,우리,용산역（지）,서울 용산구 한강대로23길 55,서울특별시 용산구 한강대로23길 55 용산역,126.9648759,37.5298702
3391,0206105,우리,삼성디스플레이ＬＣＤ（출）,충남 아산시 탕정면 명암리 15－3,충청남도 아산시 탕정면 명암리 15-1,127.0632102,36.8103741
3392,0206118,우리,괴정동,부산 사하구 괴정동 740－1,부산광역시 사하구 괴정동 740,128.9892816,35.0982432
3393,0206121,우리,가경동（지）,충북 청주시 흥덕구 가경동 1416－3,충청북도 청주시 흥덕구 가경동 1416,127.4306495,36.6269935
3394,0206134,우리,영도중앙　（출）,부산 영도구 봉래동 3가 24,부산광역시 영도구 봉래동3가 24,129.0442468,35.0926921
3395,0206147,우리,부곡동,부산 금정구 부곡동 325－33,부산광역시 금정구 부곡동 325-1,129.0910262,35.2245796
3396,0206176,우리,온천남,부산 동래구 온천2동 707,부산광역시 동래구 온천2동 707,129.0753798,35.2085261
3397,0206189,우리,망미동,부산 수영구 망미2동 212－9,부산광역시 수영구 망미2동 212-1,129.118199,35.1736375
3398,0206192,우리,미국법인베이사이드,21－10 Nｏｒｔｈｅｒｎ Bｏｕｌｅｖａｒｄ Bａｙｓｉ,ERROR_CODE,ERROR_CODE,ERROR_CODE
3399,0206202,우리,우리모스크바은행,러시아 모스크바,ERROR_CODE,ERROR_CODE,ERROR_CODE
3400,0206215,우리,르네시떼,부산 사상구 괘법동 529－1,부산광역시 사상구 괘법동 529-1,128.9777893,35.1642999
3401,0206228,우리,선부중앙（지）,경기 안산시 선부3동 1086,경기도 안산시 단원구 선부3동 1086,126.8156486,37.3392209
3402,0206231,우리,ＨＲ운용부,서울 중구 회현동 1가 203번지,서울특별시 중구 회현동1가 203,126.9815607,37.5591374
3403,0206244,우리,여신관리부,서울특별시 중구 청계천로 86， 2층 (장교동， 한화빌딩),서울특별시 중구 청계천로 86 한화빌딩,126.9865696,37.5674458
3404,0206257,우리,수지상현（지）,경기도 용인시 수지읍 상현리 254－14,ERROR_CODE,ERROR_CODE,ERROR_CODE
3405,0206273,우리,의정부금오（지）,경기 의정부시 금오동 470－5 금강프라자 1층,경기도 의정부시 금오동 470-1,127.0682021,37.7523755
3406,0206286,우리,해운대중앙（지）,부산 해운대구 중동 1378－21,부산광역시 해운대구 중동 1378-1,129.163878,35.1635464
3407,0206299,우리,효정설악（출）,경기 가평군 설악면 미사리로 267－281,경기도 가평군 미사리로 267-21 해피하우스민박,127.5206621,37.6868576
3408,0206309,우리,검사실,서울 중구 회현동1가 203번지,서울특별시 중구 회현동1가 203,126.9815607,37.5591374
3409,0206325,우리,국민대학교지점,서울 성북구 정릉3동 861－1 국민대학교 종합복지관,서울특별시 성북구 정릉3동 861-1,126.9962399,37.6104451
3410,0206338,우리,인천시청（출）,인천 남동구 구월1동 1138 인천광역시청내,인천광역시 남동구 구월1동 1138,126.7061828,37.4558246
3411,0206341,우리,인천대학교（출）,인천 남구 도화동 177 인천시립대내,인천광역시 남구 도화동 177-28,126.659973,37.4716298
3412,0206354,우리,인천전문대（출）,인천 남구 도화동 235 인천전문대내,인천광역시 남구 도화동 235-9,126.6549914,37.4688612
3413,0206367,우리,신봉지점,경기 용인시 수지구 신봉동 873,경기도 용인시 수지구 신봉동 873,127.0780726,37.3264747
3414,0206370,우리,녹산공단（지）,부산 강서구 송정동 1631－4,부산광역시 강서구 송정동 1631-1,128.8543959,35.0907408
3415,0206383,우리,반여동,부산 해운대구 반여동 1199－11,부산광역시 해운대구 반여동 1199-1,129.118454,35.2025886
3416,0206396,우리,여신서비스센터（가계,서울 중구 서소문동 135 명지빌딩 11층,서울특별시 중구 서소문동 135,126.9730158,37.5613465
3417,0206406,우리,해운대,부산 해운대구 좌동 1466－3,부산광역시 해운대구 좌동 1466-1,129.1762937,35.1718624
3418,0206419,우리,양재남금융센터,서울 서초구 양재동 60,서울특별시 서초구 양재동 60,127.0371606,37.4775677
3419,0206422,우리,카드채널지원부,서울 중구 회현동1가 203 우리은행 본점 12층,서울특별시 중구 회현동1가 203,126.9815607,37.5591374
3420,0206448,우리,총무부,서울 마포구 상암동 1585번지 우리금융 상암센터,서울특별시 마포구 상암동 1585,126.8859866,37.5834416
3421,0206451,우리,채널관리부,서울 중구 회현동 1가 203번지,서울특별시 중구 회현동1가 203,126.9815607,37.5591374
3422,0206464,우리,남양주지점,경기도 남양주시 금곡동 153－1,경기도 남양주시 금곡동 153,127.2131983,37.6347304
